trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.95}",25,10,-42.91059223632197,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 0}",1
2,False,"{'a': 0.9, 'e': 0.8999999999999999}",25,20,8.43681802218077,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.9, 'e': 0.8499999999999999}",25,17,-4.0567253325985515,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.9, 'e': 0.7999999999999998}",20,2,-147.5790309439484,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 2}",1
5,False,"{'a': 0.9, 'e': 0.7499999999999998}",20,0,-174.79015098066813,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
6,False,"{'a': 0.9, 'e': 0.6999999999999997}",25,1,-96.61509533019131,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 1}",1
7,False,"{'a': 0.9, 'e': 0.6499999999999997}",20,3,-51.15717807569942,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 0}",1
8,False,"{'a': 0.9, 'e': 0.5999999999999996}",20,0,-77.69563167999985,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.9, 'e': 0.5499999999999996}",30,10,-98.21447407148464,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",1
10,False,"{'a': 0.9, 'e': 0.4999999999999996}",20,7,-56.58994661144696,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
11,False,"{'a': 0.9, 'e': 0.4499999999999996}",20,0,-101.05029422645818,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.9, 'e': 0.39999999999999963}",30,0,-92.85142549904577,"{0: 20, 1: 0, 2: 8, 3: 2, 4: 0}",0
13,False,"{'a': 0.9, 'e': 0.34999999999999964}",30,0,-65.93856094758199,"{0: 23, 1: 0, 2: 6, 3: 0, 4: 1}",0
14,False,"{'a': 0.9, 'e': 0.29999999999999966}",30,0,-42.26514306710168,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",1
15,False,"{'a': 0.9, 'e': 0.24999999999999967}",35,0,-67.44655732060644,"{0: 28, 1: 0, 2: 3, 3: 4, 4: 0}",0
16,False,"{'a': 0.9, 'e': 0.19999999999999968}",25,13,4.662292392628754,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.9, 'e': 0.1499999999999997}",30,10,29.61242695619183,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.9, 'e': 0.09999999999999969}",25,6,-5.111955462909865,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.9, 'e': 0.049999999999999684}",25,17,14.093749196417484,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.9, 'e': -3.191891195797325e-16}",20,16,9.46199919641154,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,16,-1.8650920169897898,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,16,15.591471386300295,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",35,17,30.66414702076627,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,9,15.868472106691176,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,11,0.17028746463307076,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,19,-31.615207377257825,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",20,14,8.736234948342819,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",35,0,42.917573742021006,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,12,13.857291872949716,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,20,8.096374999283167,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
