trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.9, 'e': 0.995}",25,11,-218.62006178429095,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 5}",1
2,False,"{'a': 0.9, 'e': 0.99}",25,16,-31.381037649390297,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.9, 'e': 0.985}",25,7,-133.15943942821062,"{0: 10, 1: 1, 2: 4, 3: 1, 4: 2}",1
4,False,"{'a': 0.9, 'e': 0.98}",20,9,-5.692183253063031,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.9, 'e': 0.975}",25,0,-57.78232755132128,"{0: 18, 1: 0, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.9, 'e': 0.97}",25,0,-168.42414656231168,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
7,False,"{'a': 0.9, 'e': 0.965}",30,12,-9.518343099845797,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
8,False,"{'a': 0.9, 'e': 0.96}",25,18,-0.6077202107165518,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
9,False,"{'a': 0.9, 'e': 0.955}",25,0,-161.10344184776977,"{0: 14, 1: 0, 2: 8, 3: 1, 4: 2}",0
10,False,"{'a': 0.9, 'e': 0.95}",30,19,-82.38067748741759,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 2}",1
11,False,"{'a': 0.9, 'e': 0.945}",20,13,-7.8468343545938675,"{0: 4, 1: 3, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.9, 'e': 0.94}",25,0,-92.29146679194078,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.9, 'e': 0.9349999999999999}",25,11,-86.43053154795301,"{0: 7, 1: 2, 2: 3, 3: 1, 4: 1}",1
14,False,"{'a': 0.9, 'e': 0.9299999999999999}",20,0,-131.66114756633024,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
15,False,"{'a': 0.9, 'e': 0.9249999999999999}",20,4,-183.86578340793878,"{0: 5, 1: 2, 2: 4, 3: 3, 4: 2}",1
16,False,"{'a': 0.9, 'e': 0.9199999999999999}",25,0,-128.0737925030127,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.9, 'e': 0.9149999999999999}",20,0,-39.70523604848638,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
18,False,"{'a': 0.9, 'e': 0.9099999999999999}",20,0,-56.427218878058625,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",1
19,False,"{'a': 0.9, 'e': 0.9049999999999999}",25,0,-170.44602341941675,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 4}",0
20,False,"{'a': 0.9, 'e': 0.8999999999999999}",35,0,-244.35796598985888,"{0: 19, 1: 2, 2: 8, 3: 3, 4: 3}",0
21,False,"{'a': 0.9, 'e': 0.8949999999999999}",20,8,-60.40189403326219,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 1}",1
22,False,"{'a': 0.9, 'e': 0.8899999999999999}",20,0,-64.41410357555162,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
23,False,"{'a': 0.9, 'e': 0.8849999999999999}",25,0,-296.29076690995623,"{0: 9, 1: 2, 2: 8, 3: 1, 4: 5}",0
24,False,"{'a': 0.9, 'e': 0.8799999999999999}",30,0,-190.96897011602582,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
25,False,"{'a': 0.9, 'e': 0.8749999999999999}",30,0,-175.62720651154456,"{0: 20, 1: 1, 2: 5, 3: 1, 4: 3}",0
26,False,"{'a': 0.9, 'e': 0.8699999999999999}",20,0,-19.332883986908996,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.9, 'e': 0.8649999999999999}",25,0,-117.0521675289832,"{0: 16, 1: 2, 2: 3, 3: 3, 4: 1}",0
28,False,"{'a': 0.9, 'e': 0.8599999999999999}",25,0,-120.52886132659675,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
29,False,"{'a': 0.9, 'e': 0.8549999999999999}",20,0,-85.3443545220575,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
30,False,"{'a': 0.9, 'e': 0.8499999999999999}",25,0,-84.21667925121372,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.9, 'e': 0.8449999999999999}",20,8,-42.650902340213904,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
32,False,"{'a': 0.9, 'e': 0.8399999999999999}",20,10,-44.99231801467834,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
33,False,"{'a': 0.9, 'e': 0.8349999999999999}",20,0,-121.30329028286084,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
34,False,"{'a': 0.9, 'e': 0.8299999999999998}",25,0,-97.36397350796359,"{0: 20, 1: 0, 2: 2, 3: 1, 4: 2}",0
35,False,"{'a': 0.9, 'e': 0.8249999999999998}",20,0,-80.4717174192394,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
36,False,"{'a': 0.9, 'e': 0.8199999999999998}",30,20,-29.876212583235855,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.9, 'e': 0.8149999999999998}",20,0,-61.3376506796284,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
38,False,"{'a': 0.9, 'e': 0.8099999999999998}",20,0,-156.91010232175466,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
39,False,"{'a': 0.9, 'e': 0.8049999999999998}",20,8,-16.30451429536286,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 0}",1
