trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,6,-23.59039853554266,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-39.75184193448273,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.38959206583928,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.20638971358014,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-85.01803544551991,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-59.254121190345344,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.25203090933684,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-108.27339604730008,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-86.12060906234093,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.43330562978673,"{0: 11, 1: 5, 2: 3, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.69571152878886,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.710668325538265,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-130.25148174992734,"{0: 8, 1: 2, 2: 9, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.43289625723422,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.9084587040131,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",30,0,-131.08511271001643,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-15.139201868977793,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-87.80774918740138,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-155.2926147026543,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.03549182826701,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-120.66750318199084,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-110.62836168288688,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-175.93819933641637,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-71.08710651455473,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.75516159961503,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-180.56823502574505,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-290.76909725006664,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 6}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-30.61207365330354,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",30,0,-188.37816233302482,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,14,-1.9554186341011996,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
